停留所コード,停留所名,緯度,経度
156,神中町１丁目（南）,35.968895,136.195679
157,越のゆ前（神中町２丁目東）（南）,35.969707,136.192749
158,神中町２丁目（南）,35.971034,136.188047
159,水落町３丁目東,35.967639,136.185805
160,水落町３丁目,35.966076,136.183476
161,水落町４丁目,35.969471,136.182945
162,神明苑,35.972332,136.182953
163,ふくしん神明支店前（三六町２丁目）（南）,35.972775,136.179382
164,三六連隊跡神明　神明公民館（東）,35.970776,136.178726
165,公立丹南病院（１番のりば）,35.969646,136.178543
166,神中町２丁目（北）,35.971099,136.188299
167,越のゆ前（神中町２丁目東）（北）,35.969841,136.19281
168,神中町１丁目（北）,35.969021,136.195816
169,御幸県住（南）,35.979057,136.19326
170,神中町３丁目（東）,35.973726,136.188712
171,鳥羽郵便局前（西）,35.98613,136.186615
172,鳥羽２丁目（西）,35.988152,136.187683
173,東米岡（東）,35.98613,136.182983
174,神明町５丁目（東）,35.980957,136.184097
175,Ａコープさばえ店前（丸山町１丁目）（北）,35.978344,136.182739
176,幸道眼科前（幸町１丁目）（東）,35.97459,136.180893
177,公立丹南病院（２番のりば）,35.969696,136.178467
178,三六連隊跡神明　神明公民館（西）,35.97081,136.178604
179,ふくしん神明支店前（三六町２丁目）（北）,35.972858,136.179443
180,神明駅,35.972846,136.181591
181,神明苑,35.972324,136.182968
182,神中町２丁目（北）,35.971111,136.188324
183,越のゆ前（神中町２丁目東）（北）,35.969856,136.192764
184,神中町１丁目（北）,35.969002,136.195816
185,JR北鯖江駅東口,35.971252,136.19873
186,下河端西,35.967285,136.19873
187,下河端南,35.965073,136.201569
188,高年大学前,35.964607,136.207947
189,高年大学,35.962826,136.206955
190,橋立,35.965256,136.209534
191,青葉台（北）,35.970039,136.211319
192,吉谷西（北）,35.969719,136.214844
193,吉谷（北）,35.969273,136.221085
194,吉谷東（北）,35.9706,136.224518
195,四方谷,35.977608,136.221466
196,南井口,35.979511,136.224487
197,南井,35.982769,136.225906
198,大正寺,35.984364,136.228714
199,ことぶき荘前（大野北）,35.976616,136.226868
200,文殊山の里片上　片上公民館,35.973378,136.231584
201,大野,35.97316,136.232544
202,別所,35.973362,136.241119
203,乙坂今北,35.961895,136.231354
204,今北山古墳群,35.957835,136.229889
205,落井口,35.95422,136.229874
206,あじさいのまち北中山　北中山公民館（北）,35.95229,136.238016
207,落井,35.953896,136.236332
208,松成,35.956814,136.224213
209,中野町松成,35.955521,136.221268
210,樋口（南）,35.953266,136.210678
211,桜あふれるまち中河　中河小学校前（南）,35.954727,136.209076
212,舟枝,35.963261,136.208969
213,神中町１丁目（南）,35.968906,136.195679
214,越のゆ前（神中町２丁目東）（南）,35.969734,136.192719
215,神中町２丁目（南）,35.971031,136.18808
216,ふくしん神明支店前（三六町２丁目）（南）,35.972778,136.179413
217,三六連隊跡神明　神明公民館（東）,35.970776,136.178741
218,公立丹南病院（１番のりば）,35.969646,136.178543
219,桜あふれるまち中河　中河小学校前（北）,35.954792,136.209076
220,樋口（北）,35.953362,136.210724
221,あじさいのまち北中山　北中山公民館（南）,35.952138,136.238076
222,吉谷東（南）,35.970509,136.224518
223,吉谷（南）,35.969177,136.221069
224,吉谷西（南）,35.969635,136.214798
225,青葉台（南）,35.969921,136.211258
226,神明苑,35.972328,136.182953
227,神明駅,35.972846,136.181591
228,ふくしん神明支店前（三六町２丁目）（南）,35.972749,136.179442
229,三六連隊跡神明　神明公民館（東）,35.970768,136.178726
231,三六連隊跡神明　神明公民館（西）,35.970837,136.178589
232,みどり町（南）,35.972843,136.175079
233,西公園前（南）,35.973019,136.163101
234,石田中（南）,35.973141,136.158356
235,西石田（南）,35.973282,136.150757
236,石田下,35.97884,136.152832
237,石田上,35.978741,136.15947
238,サンリーブ前（上杉本）,35.981773,136.166824
239,JA鯖江北支店（下杉本）,35.984108,136.168579
