停留所コード,停留所名,緯度,経度
664,斎藤病院北（出口）,35.946449,136.207138
665,出口,35.947861,136.208008
666,花出（北）,35.949093,136.212769
667,原（北）,35.948425,136.219635
668,川島西,35.947102,136.22644
669,川島,35.946354,136.230469
670,川島東,35.944576,136.233948
671,あじさいのまち北中山　北中山公民館（北）,35.952274,136.238429
672,磯部口（北）,35.952354,136.241089
673,戸口,35.952362,136.246353
674,別司口,35.949047,136.257309
675,別司,35.948803,136.259628
676,河和田口,35.948715,136.267838
677,河和田,35.949532,136.269836
678,莇生田口（北）,35.948151,136.271927
679,自然豊かなまち河和田　河和田ｺﾐｭﾆﾃｨｾﾝﾀｰ（東）,35.951012,136.274445
680,うるしの里会館,35.953178,136.274216
681,河和田小学校前（北）,35.953854,136.277969
682,金谷口（北）,35.954277,136.282043
683,北中（北）,35.954308,136.284439
684,寺中,35.954597,136.289703
685,尾花,35.952206,136.294693
686,ラポーゼかわだ（南）,35.948242,136.301361
687,天屋橋,35.948032,136.304245
688,上河内,35.947071,136.307434
689,鉱泉前,35.945007,136.313995
690,嚮陽会館（南）,35.947071,136.180054
691,西鯖江駅前（南）,35.94685,136.182343
692,市民ホールつつじ前（本山前）（南）,35.946411,136.18454
693,本町２丁目（西）,35.945847,136.185257
694,本町1丁目（西）,35.944523,136.185135
695,JR鯖江駅（１番のりば）,35.943306,136.188187
696,柳町１丁目（南）,35.946388,136.190277
697,柳町３丁目（南）,35.946465,136.191833
698,体育館北（南）,35.94659,136.197845
699,横越西（南）,35.946342,136.202423
700,横越（南）,35.946136,136.204971
701,花出（南）,35.949036,136.212723
702,原（南）,35.948376,136.219635
703,あじさいのまち北中山　北中山公民館（南）,35.952206,136.238473
704,磯部口（南）,35.952263,136.240509
705,莇生田口（南）,35.948009,136.271896
706,自然豊かなまち河和田　河和田ｺﾐｭﾆﾃｨｾﾝﾀｰ（西）,35.950996,136.274307
707,河和田小学校前（南）,35.953754,136.278046
708,金谷口（南）,35.954151,136.281921
709,北中（南）,35.954227,136.284424
710,ラポーゼかわだ（北）,35.948772,136.301361
711,公立丹南病院（２番のりば）,35.969696,136.178467
712,神明公民館（西）,35.970837,136.178604
713,ふくしん神明支店前（北）,35.972881,136.179428
714,神明駅,35.972846,136.181591
715,神明苑,35.972328,136.182953
717,アル・プラザ鯖江,35.968698,136.18919
718,神中町２丁目（南）,35.971121,136.187852
719,水落橋北（東）,35.966247,136.187596
720,ｱｲｱｲ鯖江（文化の館）（東）,35.961582,136.187347
721,長泉寺（東）,35.953426,136.187912
722,かがやき前（旭町４丁目北）,35.95026,136.187332
723,本町４丁目（東）,35.949444,136.185684
724,本山前（東）,35.946957,136.185425
725,JR鯖江駅（１番のりば）,35.943302,136.188187
726,本町1丁目（西）,35.944504,136.18512
727,本町２丁目（西）,35.945858,136.185226
728,市民ホールつつじ前（本山前）（南）,35.9464,136.184525
729,西鯖江駅前（南）,35.946846,136.182358
730,嚮陽会館（南）,35.947144,136.179614
731,有定町３丁目,35.948299,136.176921
732,道の駅西山公園（北）,35.948642,136.180653
733,西山公園（西）,35.949928,136.182587
734,パンダランド,35.951937,136.183352
735,市役所,35.956066,136.184708
736,鯖江郵便局（南）,35.95956,136.182968
737,水落町１丁目（西）,35.961048,136.177933
738,北野町１丁目（西）,35.964153,136.178497
739,北野町２丁目（西）,35.967903,136.178513
740,嚮陽会館（北）,35.947222,136.179743
741,西鯖江駅前（北）,35.946869,136.182724
742,市民ホールつつじ前（本山前）（北）,35.946476,136.184494
743,本町２丁目（東）,35.945774,136.185364
744,本町1丁目（東）,35.944408,136.185257
745,JR鯖江駅（２番のりば）,35.943451,136.187912
746,本山前（西）,35.94706,136.185318
747,本町４丁目（西）,35.949524,136.185623
748,長泉寺（西）,35.953445,136.18782
749,ｱｲｱｲ鯖江（文化の館）（西）,35.961662,136.187271
750,水落橋北（西）,35.966259,136.187327
751,ふくしん神明支店前（南）,35.972775,136.179367
752,神明公民館（東）,35.970776,136.178726
753,公立丹南病院（１番のりば）,35.969646,136.178543
754,北野町２丁目（東）,35.967907,136.178635
755,北野町１丁目（東）,35.964153,136.178604
756,水落町１丁目（東）,35.961025,136.17804
757,鯖江郵便局（北）,35.959599,136.182571
758,西山公園（東）,35.950867,136.183197
759,道の駅西山公園（南）,35.948403,136.180505
760,アル・プラザ鯖江前（東）,35.9685217,136.187439
761,アル・プラザ鯖江前（西）,35.9685188,136.1872976
